Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,genre_pull
Finding Dory,(2016),PG,97 min,"
Animation, Adventure, Comedy            ","
Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","

7.3
","
77        
        Metascore
            ","264,812",$486.30M,adventure
Frozen II,(2019),PG,103 min,"
Animation, Adventure, Comedy            ","
Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.","

6.8
","
64        
        Metascore
            ","162,495",$477.37M,adventure
Star Wars: Episode I - The Phantom Menace,(1999),PG,136 min,"
Action, Adventure, Fantasy            ","
Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","

6.5
","
51        
        Metascore
            ","775,183",$474.54M,adventure
Avengers: Age of Ultron,(2015),PG-13,141 min,"
Action, Adventure, Sci-Fi            ","
When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","

7.3
","
66        
        Metascore
            ","824,265",$459.01M,adventure
Shrek 2,(2004),PG,93 min,"
Animation, Adventure, Comedy            ","
Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","

7.3
","
75        
        Metascore
            ","448,413",$436.47M,adventure
E.T. the Extra-Terrestrial,(1982),PG,115 min,"
Adventure, Family, Sci-Fi            ","
A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.","

7.9
","
91        
        Metascore
            ","396,440",$435.11M,adventure
Toy Story 4,(2019),G,100 min,"
Animation, Adventure, Comedy            ","
When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","

7.7
","
84        
        Metascore
            ","235,158",$434.04M,adventure
Captain Marvel,(2019),PG-13,123 min,"
Action, Adventure, Sci-Fi            ","
Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.","

6.8
","
64        
        Metascore
            ","525,203",$426.83M,adventure
The Hunger Games: Catching Fire,(2013),PG-13,146 min,"
Action, Adventure, Drama            ","
Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.","

7.5
","
76        
        Metascore
            ","647,722",$424.67M,adventure
Pirates of the Caribbean: Dead Man's Chest,(2006),PG-13,151 min,"
Action, Adventure, Fantasy            ","
Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","

7.4
","
53        
        Metascore
            ","691,719",$423.32M,adventure
The Lion King,(1994),G,88 min,"
Animation, Adventure, Drama            ","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","

8.5
","
88        
        Metascore
            ","1,015,771",$422.78M,adventure
Jurassic World: Fallen Kingdom,(2018),PG-13,128 min,"
Action, Adventure, Sci-Fi            ","
When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","

6.2
","
51        
        Metascore
            ","294,437",$417.72M,adventure
Toy Story 3,(2010),G,103 min,"
Animation, Adventure, Comedy            ","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","

8.3
","
92        
        Metascore
            ","807,727",$415.00M,adventure
Wonder Woman,(2017),PG-13,141 min,"
Action, Adventure, Fantasy            ","
When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","

7.4
","
76        
        Metascore
            ","631,357",$412.56M,adventure
Iron Man Three,(2013),PG-13,130 min,"
Action, Adventure, Sci-Fi            ","
When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","

7.2
","
62        
        Metascore
            ","818,710",$409.01M,adventure
Captain America: Civil War,(2016),PG-13,147 min,"
Action, Adventure, Sci-Fi            ","
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","

7.8
","
75        
        Metascore
            ","744,903",$408.08M,adventure
The Hunger Games,(2012),PG-13,142 min,"
Action, Adventure, Sci-Fi            ","
Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.","

7.2
","
68        
        Metascore
            ","893,456",$408.01M,adventure
Jumanji: Welcome to the Jungle,(2017),PG-13,119 min,"
Action, Adventure, Comedy            ","
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","

6.9
","
58        
        Metascore
            ","361,152",$404.52M,adventure
Spider-Man,(2002),PG-13,121 min,"
Action, Adventure, Sci-Fi            ","
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","

7.4
","
73        
        Metascore
            ","787,280",$403.71M,adventure
Jurassic Park,(1993),PG-13,127 min,"
Action, Adventure, Sci-Fi            ","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","

8.2
","
68        
        Metascore
            ","938,305",$402.45M,adventure
Transformers: Revenge of the Fallen,(2009),PG-13,149 min,"
Action, Adventure, Sci-Fi            ","
Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","

6.0
","
35        
        Metascore
            ","401,135",$402.11M,adventure
Frozen,(I) (2013),PG,102 min,"
Animation, Adventure, Comedy            ","
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","

7.5
","
75        
        Metascore
            ","607,601",$400.74M,adventure
Spider-Man: Far from Home,(2019),PG-13,129 min,"
Action, Adventure, Sci-Fi            ","
Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","

7.4
","
69        
        Metascore
            ","451,626",$390.53M,adventure
Guardians of the Galaxy Vol. 2,(2017),PG-13,136 min,"
Action, Adventure, Comedy            ","
The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","

7.6
","
67        
        Metascore
            ","642,148",$389.81M,adventure
Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130 min,"
Adventure, Fantasy, Mystery            ","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","

8.2
","
85        
        Metascore
            ","837,554",$381.01M,adventure
Finding Nemo,(2003),G,100 min,"
Animation, Adventure, Comedy            ","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","

8.2
","
90        
        Metascore
            ","1,010,209",$380.84M,adventure
Star Wars: Episode III - Revenge of the Sith,(2005),PG-13,140 min,"
Action, Adventure, Fantasy            ","
Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","

7.6
","
68        
        Metascore
            ","758,085",$380.26M,adventure
The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","

9.0
","
94        
        Metascore
            ","1,764,369",$377.85M,adventure
Spider-Man 2,(2004),PG-13,127 min,"
Action, Adventure, Sci-Fi            ","
Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.","

7.4
","
83        
        Metascore
            ","626,369",$373.59M,adventure
The Secret Life of Pets,(2016),PG,87 min,"
Animation, Adventure, Comedy            ","
The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","

6.5
","
61        
        Metascore
            ","196,841",$368.38M,adventure
Despicable Me 2,(2013),PG,98 min,"
Animation, Adventure, Comedy            ","
When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","

7.3
","
62        
        Metascore
            ","389,440",$368.06M,adventure
The Jungle Book,(2016),PG,106 min,"
Adventure, Drama, Family            ","
After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","

7.4
","
77        
        Metascore
            ","272,236",$364.00M,adventure
Deadpool,(2016),R,108 min,"
Action, Adventure, Comedy            ","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","

8.0
","
65        
        Metascore
            ","986,601",$363.07M,adventure
Inside Out,(I) (2015),PG,95 min,"
Animation, Adventure, Comedy            ","
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","

8.2
","
94        
        Metascore
            ","680,668",$356.46M,adventure
Aladdin,(2019),PG,128 min,"
Adventure, Comedy, Family            ","
A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","

6.9
","
53        
        Metascore
            ","254,964",$355.56M,adventure
Transformers: Dark of the Moon,(2011),PG-13,154 min,"
Action, Adventure, Sci-Fi            ","
The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.","

6.2
","
42        
        Metascore
            ","400,867",$352.39M,adventure
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"
Action, Adventure, Drama            ","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","

8.8
","
87        
        Metascore
            ","1,594,041",$342.55M,adventure
Zootopia,(2016),PG,108 min,"
Animation, Adventure, Comedy            ","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","

8.0
","
78        
        Metascore
            ","476,883",$341.27M,adventure
The Hunger Games: Mockingjay - Part 1,(2014),PG-13,123 min,"
Action, Adventure, Sci-Fi            ","
Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.","

6.6
","
64        
        Metascore
            ","442,358",$337.14M,adventure
Spider-Man 3,(2007),PG-13,139 min,"
Action, Adventure, Sci-Fi            ","
A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","

6.3
","
59        
        Metascore
            ","567,490",$336.53M,adventure
Minions,(2015),PG,91 min,"
Animation, Adventure, Comedy            ","
Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","

6.4
","
56        
        Metascore
            ","227,798",$336.05M,adventure
Aquaman,(2018),PG-13,143 min,"
Action, Adventure, Fantasy            ","
Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","

6.9
","
55        
        Metascore
            ","436,259",$335.06M,adventure
Spider-Man: Homecoming,(2017),PG-13,133 min,"
Action, Adventure, Sci-Fi            ","
Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","

7.4
","
73        
        Metascore
            ","618,187",$334.20M,adventure
Alice in Wonderland,(I) (2010),PG,108 min,"
Adventure, Family, Fantasy            ","
Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.","

6.4
","
53        
        Metascore
            ","404,496",$334.19M,adventure
Guardians of the Galaxy,(2014),PG-13,121 min,"
Action, Adventure, Comedy            ","
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","

8.1
","
76        
        Metascore
            ","1,130,530",$333.18M,adventure
Batman v Superman: Dawn of Justice,(2016),PG-13,152 min,"
Action, Adventure, Sci-Fi            ","
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","

6.5
","
44        
        Metascore
            ","681,306",$330.36M,adventure
Suicide Squad,(2016),PG-13,123 min,"
Action, Adventure, Fantasy            ","
A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","

5.9
","
40        
        Metascore
            ","668,094",$325.10M,adventure
Deadpool 2,(2018),R,119 min,"
Action, Adventure, Comedy            ","
Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","

7.7
","
66        
        Metascore
            ","546,366",$324.59M,adventure
Star Wars,(1977),PG,121 min,"
Action, Adventure, Fantasy            ","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","

8.6
","
90        
        Metascore
            ","1,312,292",$322.74M,adventure
Shrek the Third,(2007),PG,93 min,"
Animation, Adventure, Comedy            ","
Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.","

6.1
","
58        
        Metascore
            ","298,541",$320.71M,adventure
Transformers,(2007),PG-13,144 min,"
Action, Adventure, Sci-Fi            ","
An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","

7.1
","
61        
        Metascore
            ","624,076",$319.25M,adventure
Iron Man,(2008),PG-13,126 min,"
Action, Adventure, Sci-Fi            ","
After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","

7.9
","
79        
        Metascore
            ","1,018,547",$318.41M,adventure
Harry Potter and the Sorcerer's Stone,(2001),PG,152 min,"
Adventure, Family, Fantasy            ","
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","

7.6
","
65        
        Metascore
            ","745,089",$317.58M,adventure
Indiana Jones and the Kingdom of the Crystal Skull,(2008),PG-13,122 min,"
Action, Adventure            ","
In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","

6.2
","
65        
        Metascore
            ","445,711",$317.10M,adventure
Jumanji: The Next Level,(2019),PG-13,123 min,"
Action, Adventure, Comedy            ","
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","

6.7
","
58        
        Metascore
            ","234,445",$316.83M,adventure
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"
Action, Adventure, Drama            ","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","

8.9
","
92        
        Metascore
            ","1,786,175",$315.54M,adventure
Thor: Ragnarok,(2017),PG-13,130 min,"
Action, Adventure, Comedy            ","
Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","

7.9
","
74        
        Metascore
            ","686,993",$315.06M,adventure
Iron Man 2,(2010),PG-13,124 min,"
Action, Adventure, Sci-Fi            ","
With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","

7.0
","
57        
        Metascore
            ","786,180",$312.43M,adventure
Star Wars: Episode II - Attack of the Clones,(2002),PG,142 min,"
Action, Adventure, Fantasy            ","
Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","

6.6
","
54        
        Metascore
            ","683,979",$310.68M,adventure
Pirates of the Caribbean: At World's End,(2007),PG-13,169 min,"
Action, Adventure, Fantasy            ","
Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","

7.1
","
50        
        Metascore
            ","628,787",$309.42M,adventure
Star Wars: Episode VI - Return of the Jedi,(1983),PG,131 min,"
Action, Adventure, Fantasy            ","
After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","

8.3
","
58        
        Metascore
            ","1,014,119",$309.13M,adventure
Independence Day,(1996),PG-13,145 min,"
Action, Adventure, Sci-Fi            ","
The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","

7.0
","
59        
        Metascore
            ","559,954",$306.17M,adventure
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),PG-13,143 min,"
Action, Adventure, Fantasy            ","
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","

8.1
","
63        
        Metascore
            ","1,068,856",$305.41M,adventure
Skyfall,(2012),PG-13,143 min,"
Action, Adventure, Thriller            ","
James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","

7.8
","
81        
        Metascore
            ","681,507",$304.36M,adventure
The Hobbit: An Unexpected Journey,(2012),PG-13,169 min,"
Adventure, Fantasy            ","
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","

7.8
","
58        
        Metascore
            ","799,737",$303.00M,adventure
Harry Potter and the Half-Blood Prince,(2009),PG,153 min,"
Action, Adventure, Family            ","
As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","

7.6
","
78        
        Metascore
            ","522,836",$301.96M,adventure
The Twilight Saga: Eclipse,(2010),PG-13,124 min,"
Action, Adventure, Drama            ","
As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","

5.0
","
58        
        Metascore
            ","241,079",$300.53M,adventure
The Twilight Saga: New Moon,(2009),PG-13,130 min,"
Adventure, Drama, Fantasy            ","
Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.","

4.7
","
44        
        Metascore
            ","279,235",$296.62M,adventure
Harry Potter and the Deathly Hallows: Part 1,(2010),PG-13,146 min,"
Adventure, Family, Fantasy            ","
As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","

7.7
","
65        
        Metascore
            ","526,034",$295.98M,adventure
Up,(2009),PG,96 min,"
Animation, Adventure, Comedy            ","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","

8.3
","
88        
        Metascore
            ","1,006,160",$293.00M,adventure
Inception,(2010),PG-13,148 min,"
Action, Adventure, Sci-Fi            ","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","

8.8
","
74        
        Metascore
            ","2,250,094",$292.58M,adventure
The Twilight Saga: Breaking Dawn - Part 2,(2012),PG-13,115 min,"
Adventure, Drama, Fantasy            ","
After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.","

5.6
","
52        
        Metascore
            ","244,101",$292.30M,adventure
Harry Potter and the Order of the Phoenix,(2007),PG-13,138 min,"
Action, Adventure, Family            ","
With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","

7.5
","
71        
        Metascore
            ","558,748",$292.00M,adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),PG,143 min,"
Adventure, Family, Fantasy            ","
Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.","

6.9
","
75        
        Metascore
            ","388,192",$291.71M,adventure
Man of Steel,(2013),PG-13,143 min,"
Action, Adventure, Sci-Fi            ","
An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.","

7.1
","
55        
        Metascore
            ","747,376",$291.05M,adventure
Star Wars: Episode V - The Empire Strikes Back,(1980),PG,124 min,"
Action, Adventure, Fantasy            ","
After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","

8.7
","
82        
        Metascore
            ","1,240,781",$290.48M,adventure
Harry Potter and the Goblet of Fire,(2005),PG-13,157 min,"
Adventure, Family, Fantasy            ","
Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","

7.7
","
81        
        Metascore
            ","602,028",$290.01M,adventure
"Monsters, Inc.",(2001),G,92 min,"
Animation, Adventure, Comedy            ","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","

8.1
","
79        
        Metascore
            ","876,459",$289.92M,adventure
The Hunger Games: Mockingjay - Part 2,(2015),PG-13,137 min,"
Action, Adventure, Sci-Fi            ","
Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.","

6.5
","
65        
        Metascore
            ","314,314",$281.72M,adventure
The Twilight Saga: Breaking Dawn - Part 1,(2011),PG-13,117 min,"
Adventure, Drama, Fantasy            ","
The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.","

4.9
","
45        
        Metascore
            ","236,003",$281.29M,adventure
The Grinch,(2018),PG,85 min,"
Animation, Adventure, Comedy            ","
A grumpy Grinch plots to ruin Christmas for the village of Whoville.","

6.3
","
51        
        Metascore
            ","67,487",$270.62M,adventure
Monsters University,(2013),G,104 min,"
Animation, Adventure, Comedy            ","
A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.","

7.3
","
65        
        Metascore
            ","347,682",$268.49M,adventure
Shrek,(2001),PG,90 min,"
Animation, Adventure, Comedy            ","
A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","

7.9
","
84        
        Metascore
            ","654,837",$267.67M,adventure
Despicable Me 3,(2017),PG,89 min,"
Animation, Adventure, Comedy            ","
Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.","

6.3
","
49        
        Metascore
            ","127,882",$264.62M,adventure
The Amazing Spider-Man,(2012),PG-13,136 min,"
Action, Adventure, Sci-Fi            ","
After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","

7.0
","
66        
        Metascore
            ","632,610",$262.03M,adventure
Harry Potter and the Chamber of Secrets,(2002),PG,161 min,"
Adventure, Family, Fantasy            ","
An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.","

7.4
","
63        
        Metascore
            ","609,447",$261.99M,adventure
The Incredibles,(2004),PG,115 min,"
Animation, Action, Adventure            ","
A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","

8.1
","
90        
        Metascore
            ","701,524",$261.44M,adventure
Jaws,(1975),PG,124 min,"
Adventure, Thriller            ","
When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","

8.1
","
87        
        Metascore
            ","577,547",$260.00M,adventure
Captain America: The Winter Soldier,(2014),PG-13,136 min,"
Action, Adventure, Sci-Fi            ","
As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","

7.8
","
70        
        Metascore
            ","808,677",$259.77M,adventure
The Hobbit: The Desolation of Smaug,(2013),PG-13,161 min,"
Adventure, Fantasy            ","
The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.","

7.8
","
66        
        Metascore
            ","639,157",$258.37M,adventure
The Lego Movie,(2014),PG,100 min,"
Animation, Action, Adventure            ","
An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","

7.7
","
83        
        Metascore
            ","343,465",$257.76M,adventure
Star Trek,(2009),PG-13,127 min,"
Action, Adventure, Sci-Fi            ","
The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.","

8.0
","
82        
        Metascore
            ","596,389",$257.73M,adventure
The Hobbit: The Battle of the Five Armies,(2014),PG-13,144 min,"
Adventure, Fantasy            ","
Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.","

7.4
","
59        
        Metascore
            ","510,454",$255.12M,adventure
Despicable Me,(2010),PG,95 min,"
Animation, Adventure, Comedy            ","
When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","

7.6
","
72        
        Metascore
            ","529,924",$251.51M,adventure
Batman,(1989),PG-13,126 min,"
Action, Adventure            ","
The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","

7.5
","
69        
        Metascore
            ","366,362",$251.19M,adventure
Night at the Museum,(2006),PG,108 min,"
Adventure, Comedy, Family            ","
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.","

6.4
","
48        
        Metascore
            ","337,329",$250.86M,adventure
Men in Black,(1997),PG-13,98 min,"
Action, Adventure, Comedy            ","
A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.","

7.3
","
71        
        Metascore
            ","550,442",$250.69M,adventure
Harry Potter and the Prisoner of Azkaban,(2004),PG,142 min,"
Adventure, Family, Fantasy            ","
Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","

7.9
","
82        
        Metascore
            ","608,610",$249.36M,adventure
Moana,(I) (2016),PG,107 min,"
Animation, Adventure, Comedy            ","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","

7.6
","
81        
        Metascore
            ","316,101",$248.76M,adventure
Indiana Jones and the Raiders of the Lost Ark,(1981),PG,115 min,"
Action, Adventure            ","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","

8.4
","
85        
        Metascore
            ","938,187",$248.16M,adventure
Toy Story 2,(1999),G,92 min,"
Animation, Adventure, Comedy            ","
When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","

7.9
","
88        
        Metascore
            ","562,329",$245.85M,adventure
