Title,Release Year,Certificate,Genres,IMDB Rating,Votes,Gross Revenue,genre_pull
Far and Away,(1992),PG-13,"
Adventure, Drama, Romance            ","

6.6
","62,463",$58.88M,western
Open Range,(2003),R,"
Action, Drama, Romance            ","

7.4
","71,543",$58.33M,western
Shanghai Noon,(2000),PG-13,"
Action, Adventure, Comedy            ","

6.6
","125,289",$56.94M,western
Tombstone,(1993),R,"
Action, Biography, Drama            ","

7.8
","142,000",$56.51M,western
The Hateful Eight,(2015),R,"
Crime, Drama, Mystery            ","

7.8
","571,751",$54.12M,western
3:10 to Yuma,(2007),R,"
Action, Crime, Drama            ","

7.7
","304,009",$53.61M,western
The Dark Tower,(2017),PG-13,"
Action, Adventure, Fantasy            ","

5.6
","136,252",$50.70M,western
Australia,(2008),PG-13,"
Adventure, Drama, Romance            ","

6.6
","123,236",$49.55M,western
Jeremiah Johnson,(1972),GP,"
Adventure, Drama, Western            ","

7.6
","31,137",$47.74M,western
The Legend of Zorro,(2005),PG,"
Action, Adventure, Romance            ","

5.9
","100,372",$46.46M,western
Young Guns,(1988),R,"
Action, Western            ","

6.8
","59,998",$45.66M,western
Young Guns II,(1990),PG-13,"
Action, Western            ","

6.5
","35,332",$44.14M,western
A Million Ways to Die in the West,(2014),R,"
Comedy, Western            ","

6.1
","186,363",$43.14M,western
Pale Rider,(1985),R,"
Drama, Western            ","

7.3
","58,031",$41.41M,western
Three Amigos!,(1986),PG,"
Comedy, Western            ","

6.5
","73,614",$39.25M,western
The Longest Ride,(2015),PG-13,"
Comedy, Drama, Romance            ","

7.1
","81,334",$37.45M,western
Wind River,(2017),R,"
Crime, Drama, Mystery            ","

7.7
","239,517",$33.80M,western
Silverado,(1985),PG-13,"
Action, Crime, Drama            ","

7.2
","43,456",$33.20M,western
The Outlaw Josey Wales,(1976),PG,"
Western            ","

7.8
","71,793",$31.80M,western
Little Big Man,(1970),PG-13,"
Adventure, Comedy, Drama            ","

7.6
","34,812",$31.56M,western
True Grit,(1969),G,"
Adventure, Drama, Western            ","

7.4
","46,582",$31.13M,western
Hostiles,(2017),R,"
Drama, Western            ","

7.2
","81,596",$29.82M,western
The Missing,(I) (2003),R,"
Adventure, Thriller, Western            ","

6.5
","35,404",$26.90M,western
Hell or High Water,(II) (2016),R,"
Action, Crime, Drama            ","

7.6
","222,703",$26.86M,western
Desperado,(1995),R,"
Action, Crime, Thriller            ","

7.2
","182,449",$25.63M,western
Wyatt Earp,(1994),PG-13,"
Adventure, Biography, Drama            ","

6.7
","49,780",$25.05M,western
Around the World in 80 Days,(2004),PG,"
Action, Adventure, Comedy            ","

5.8
","88,918",$24.01M,western
An American Tail: Fievel Goes West,(1991),G,"
Animation, Adventure, Family            ","

6.5
","25,786",$22.17M,western
Free State of Jones,(2016),R,"
Action, Biography, Drama            ","

6.9
","56,998",$20.76M,western
Appaloosa,(2008),R,"
Action, Crime, Drama            ","

6.7
","60,760",$20.21M,western
Avengers: Endgame,(2019),PG-13,"
Action, Adventure, Drama            ","

8.4
","1,022,316",$858.37M,drama
Titanic,(1997),PG-13,"
Drama, Romance            ","

7.9
","1,123,912",$659.33M,drama
The Lion King,(2019),PG,"
Animation, Adventure, Drama            ","

6.9
","234,712",$543.64M,drama
The Dark Knight,(2008),PG-13,"
Action, Crime, Drama            ","

9.1
","2,511,458",$534.86M,drama
The Dark Knight Rises,(2012),PG-13,"
Action, Crime, Drama            ","

8.4
","1,626,918",$448.14M,drama
The Hunger Games: Catching Fire,(2013),PG-13,"
Action, Adventure, Drama            ","

7.5
","646,754",$424.67M,drama
The Lion King,(1994),G,"
Animation, Adventure, Drama            ","

8.5
","1,013,461",$422.78M,drama
The Lord of the Rings: The Return of the King,(2003),PG-13,"
Action, Adventure, Drama            ","

9.0
","1,760,690",$377.85M,drama
The Passion of the Christ,(2004),R,"
Drama            ","

7.2
","225,586",$370.78M,drama
The Jungle Book,(2016),PG,"
Adventure, Drama, Family            ","

7.4
","271,923",$364.00M,drama
Inside Out,(I) (2015),PG,"
Animation, Adventure, Comedy            ","

8.2
","678,629",$356.46M,drama
American Sniper,(2014),R,"
Action, Biography, Drama            ","

7.3
","470,125",$350.13M,drama
The Lord of the Rings: The Two Towers,(2002),PG-13,"
Action, Adventure, Drama            ","

8.8
","1,590,739",$342.55M,drama
Joker,(I) (2019),R,"
Crime, Drama, Thriller            ","

8.4
","1,155,884",$335.45M,drama
Forrest Gump,(1994),PG-13,"
Drama, Romance            ","

8.8
","1,972,112",$330.25M,drama
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,"
Action, Adventure, Drama            ","

8.9
","1,782,635",$315.54M,drama
The Twilight Saga: Eclipse,(2010),PG-13,"
Action, Adventure, Drama            ","

5.0
","240,641",$300.53M,drama
The Twilight Saga: New Moon,(2009),PG-13,"
Adventure, Drama, Fantasy            ","

4.7
","278,791",$296.62M,drama
The Sixth Sense,(1999),PG-13,"
Drama, Mystery, Thriller            ","

8.2
","961,412",$293.51M,drama
Up,(2009),PG,"
Animation, Adventure, Comedy            ","

8.3
","1,003,864",$293.00M,drama
The Twilight Saga: Breaking Dawn - Part 2,(2012),PG-13,"
Adventure, Drama, Fantasy            ","

5.6
","243,690",$292.30M,drama
The Twilight Saga: Breaking Dawn - Part 1,(2011),PG-13,"
Adventure, Drama, Fantasy            ","

4.9
","235,593",$281.29M,drama
Gravity,(2013),PG-13,"
Action, Drama, Sci-Fi            ","

7.7
","806,983",$274.09M,drama
I Am Legend,(2007),PG-13,"
Action, Drama, Sci-Fi            ","

7.2
","731,709",$256.39M,drama
The Blind Side,(2009),PG-13,"
Biography, Drama, Sport            ","

7.6
","319,317",$255.96M,drama
My Big Fat Greek Wedding,(2002),PG,"
Comedy, Drama, Romance            ","

6.6
","128,375",$241.44M,drama
Cast Away,(2000),PG-13,"
Adventure, Drama, Romance            ","

7.8
","570,598",$233.63M,drama
The Martian,(2015),PG-13,"
Adventure, Drama, Sci-Fi            ","

8.0
","820,016",$228.43M,drama
Signs,(2002),PG-13,"
Drama, Mystery, Sci-Fi            ","

6.8
","354,549",$227.97M,drama
Hancock,(2008),PG-13,"
Action, Drama, Fantasy            ","

6.4
","469,416",$227.95M,drama
Logan,(2017),R,"
Action, Drama, Sci-Fi            ","

8.1
","717,539",$226.28M,drama
Alvin and the Chipmunks: The Squeakquel,(2009),PG,"
Animation, Adventure, Comedy            ","

4.5
","47,756",$219.61M,drama
Mrs. Doubtfire,(1993),PG-13,"
Comedy, Drama            ","

7.1
","262,456",$219.20M,drama
King Kong,(2005),PG-13,"
Action, Adventure, Drama            ","

7.2
","413,750",$218.08M,drama
Ghost,(1990),PG-13,"
Drama, Fantasy, Romance            ","

7.1
","211,125",$217.63M,drama
Alvin and the Chipmunks,(2007),PG,"
Animation, Adventure, Comedy            ","

5.2
","83,164",$217.33M,drama
Saving Private Ryan,(1998),R,"
Drama, War            ","

8.6
","1,332,604",$216.54M,drama
Bohemian Rhapsody,(2018),PG-13,"
Biography, Drama, Music            ","

8.0
","509,441",$216.43M,drama
A Star Is Born,(2018),R,"
Drama, Music, Romance            ","

7.6
","369,235",$215.29M,drama
The Lorax,(2012),PG,"
Animation, Adventure, Comedy            ","

6.4
","108,536",$214.03M,drama
It Chapter Two,(2019),R,"
Drama, Fantasy, Horror            ","

6.5
","244,375",$211.59M,drama
300,(2006),R,"
Action, Drama            ","

7.6
","791,579",$210.61M,drama
Dawn of the Planet of the Apes,(2014),PG-13,"
Action, Adventure, Drama            ","

7.6
","430,611",$208.55M,drama
Batman Begins,(2005),PG-13,"
Action, Crime, Drama            ","

8.3
","1,401,987",$206.85M,drama
Cinderella,(I) (2015),PG,"
Adventure, Drama, Family            ","

6.9
","173,080",$201.15M,drama
Gone with the Wind,(1939),Passed,"
Drama, History, Romance            ","

8.2
","307,846",$198.68M,drama
Pearl Harbor,(2001),PG-13,"
Action, Drama, History            ","

6.2
","325,923",$198.54M,drama
Twilight,(I) (2008),PG-13,"
Drama, Fantasy, Romance            ","

5.3
","451,002",$191.47M,drama
Dunkirk,(2017),PG-13,"
Action, Drama, History            ","

7.8
","621,805",$188.37M,drama
A Quiet Place,(2018),PG-13,"
Drama, Horror, Sci-Fi            ","

7.5
","500,685",$188.02M,drama
Interstellar,(2014),PG-13,"
Adventure, Drama, Sci-Fi            ","

8.7
","1,700,559",$188.02M,drama
Gladiator,(2000),R,"
Action, Adventure, Drama            ","

8.5
","1,440,110",$187.71M,drama
Dances with Wolves,(1990),PG-13,"
Adventure, Drama, Western            ","

8.1
","256,402",$184.21M,drama
The Fugitive,(1993),PG-13,"
Action, Crime, Drama            ","

7.8
","286,167",$183.88M,drama
The Revenant,(2015),R,"
Action, Adventure, Drama            ","

8.0
","769,665",$183.64M,drama
The Perfect Storm,(2000),PG-13,"
Action, Adventure, Drama            ","

6.4
","164,737",$182.62M,drama
Lincoln,(2012),PG-13,"
Biography, Drama, History            ","

7.3
","256,571",$182.21M,drama
Top Gun,(1986),PG,"
Action, Drama            ","

6.9
","319,850",$179.80M,drama
Rain Man,(1988),R,"
Drama            ","

8.0
","499,626",$178.80M,drama
Tootsie,(1982),PG,"
Comedy, Drama, Romance            ","

7.4
","104,162",$177.20M,drama
Rise of the Planet of the Apes,(2011),PG-13,"
Action, Drama, Sci-Fi            ","

7.6
","516,516",$176.76M,drama
The Karate Kid,(2010),PG,"
Action, Drama, Family            ","

6.2
","176,723",$176.59M,drama
Crazy Rich Asians,(2018),PG-13,"
Comedy, Drama, Romance            ","

6.9
","164,009",$174.53M,drama
The Greatest Showman,(2017),PG,"
Biography, Drama, Musical            ","

7.6
","268,167",$174.34M,drama
Apollo 13,(I) (1995),PG,"
Adventure, Drama, History            ","

7.7
","287,336",$173.84M,drama
Air Force One,(1997),R,"
Action, Drama, Thriller            ","

6.5
","191,726",$172.96M,drama
True Grit,(2010),PG-13,"
Drama, Western            ","

7.6
","331,562",$171.24M,drama
Tarzan,(1999),G,"
Animation, Adventure, Comedy            ","

7.3
","218,710",$171.09M,drama
A Beautiful Mind,(2001),PG-13,"
Biography, Drama            ","

8.2
","902,464",$170.74M,drama
The Help,(2011),PG-13,"
Drama            ","

8.1
","445,994",$169.71M,drama
Hidden Figures,(2016),PG,"
Biography, Drama, History            ","

7.8
","219,800",$169.61M,drama
Three Men and a Baby,(1987),PG,"
Comedy, Drama, Family            ","

6.1
","52,468",$167.78M,drama
Gone Girl,(2014),R,"
Drama, Mystery, Thriller            ","

8.1
","940,474",$167.77M,drama
Fifty Shades of Grey,(2015),R,"
Drama, Romance, Thriller            ","

4.2
","312,241",$166.17M,drama
Robin Hood: Prince of Thieves,(1991),PG-13,"
Action, Adventure, Drama            ","

6.9
","189,700",$165.50M,drama
Knives Out,(2019),PG-13,"
Comedy, Crime, Drama            ","

7.9
","577,242",$165.36M,drama
Hannibal,(2001),R,"
Crime, Drama, Thriller            ","

6.8
","268,671",$165.09M,drama
Catch Me If You Can,(2002),PG-13,"
Biography, Crime, Drama            ","

8.1
","925,854",$164.62M,drama
The Proposal,(I) (2009),PG-13,"
Comedy, Drama, Romance            ","

6.7
","317,758",$163.96M,drama
The Pursuit of Happyness,(2006),PG-13,"
Biography, Drama            ","

8.0
","490,012",$163.57M,drama
Big Daddy,(1999),PG-13,"
Comedy, Drama            ","

6.4
","211,710",$163.48M,drama
The Sound of Music,(1965),G,"
Biography, Drama, Family            ","

8.1
","222,895",$163.21M,drama
Django Unchained,(2012),R,"
Drama, Western            ","

8.5
","1,477,068",$162.81M,drama
Straight Outta Compton,(2015),R,"
Biography, Drama, History            ","

7.8
","195,149",$161.20M,drama
A Quiet Place Part II,(2020),PG-13,"
Drama, Horror, Sci-Fi            ","

7.2
","199,613",$160.07M,drama
The Sting,(1973),PG,"
Comedy, Crime, Drama            ","

8.3
","255,496",$159.60M,drama
1917,(2019),R,"
Action, Drama, War            ","

8.3
","536,556",$159.23M,drama
The Firm,(1993),R,"
Drama, Mystery, Thriller            ","

6.8
","130,759",$158.35M,drama
Fatal Attraction,(1987),R,"
Drama, Thriller            ","

6.9
","83,583",$156.65M,drama
What Lies Beneath,(2000),PG-13,"
Drama, Horror, Mystery            ","

6.6
","123,906",$155.46M,drama
Snow White and the Huntsman,(2012),PG-13,"
Action, Adventure, Drama            ","

6.1
","284,722",$155.33M,drama
Jerry Maguire,(1996),R,"
Comedy, Drama, Romance            ","

7.3
","258,060",$153.95M,drama
Sex and the City,(2008),R,"
Comedy, Drama, Romance            ","

5.7
","121,067",$152.65M,drama
La La Land,(2016),PG-13,"
Comedy, Drama, Music            ","

8.0
","558,593",$151.10M,drama
American Hustle,(2013),R,"
Crime, Drama            ","

7.3
","469,980",$150.12M,drama
Les Misérables,(2012),PG-13,"
Drama, Musical, Romance            ","

7.6
","323,507",$148.81M,drama
As Good as It Gets,(1997),PG-13,"
Comedy, Drama, Romance            ","

7.7
","292,886",$148.48M,drama
Gran Torino,(2008),R,"
Drama            ","

8.1
","756,697",$148.10M,drama
War for the Planet of the Apes,(2017),PG-13,"
Action, Adventure, Drama            ","

7.4
","246,836",$146.88M,drama
Lilo & Stitch,(2002),PG,"
Animation, Adventure, Comedy            ","

7.3
","182,970",$145.79M,drama
The Great Gatsby,(2013),PG-13,"
Drama, Romance            ","

7.2
","521,411",$144.84M,drama
The Santa Clause,(1994),PG,"
Comedy, Drama, Family            ","

6.5
","113,193",$144.83M,drama
Juno,(2007),PG-13,"
Comedy, Drama            ","

7.5
","511,043",$143.50M,drama
Marley & Me,(2008),PG,"
Comedy, Drama, Family            ","

7.1
","155,227",$143.15M,drama
Once Upon a Time... In Hollywood,(2019),R,"
Comedy, Drama            ","

7.6
","674,419",$142.50M,drama
Pocahontas,(I) (1995),G,"
Animation, Adventure, Drama            ","

6.7
","181,703",$141.60M,drama
A Few Good Men,(1992),R,"
Drama, Thriller            ","

7.7
","253,735",$141.34M,drama
Slumdog Millionaire,(2008),R,"
Drama, Romance            ","

8.0
","829,462",$141.32M,drama
Deep Impact,(1998),PG-13,"
Action, Drama, Sci-Fi            ","

6.2
","175,060",$140.46M,drama
The King's Speech,(2010),R,"
Biography, Drama, History            ","

8.0
","667,265",$138.80M,drama
Platoon,(1986),R,"
Drama, War            ","

8.1
","403,536",$138.53M,drama
Good Will Hunting,(1997),R,"
Drama, Romance            ","

8.3
","927,949",$138.43M,drama
A Christmas Carol,(2009),PG,"
Animation, Adventure, Comedy            ","

6.8
","112,471",$137.86M,drama
Dinosaur,(2000),PG,"
Animation, Adventure, Drama            ","

6.4
","58,819",$137.75M,drama
Click,(2006),PG-13,"
Comedy, Drama, Fantasy            ","

6.4
","322,845",$137.36M,drama
The Green Mile,(1999),R,"
Crime, Drama, Fantasy            ","

8.6
","1,242,988",$136.80M,drama
Argo,(2012),R,"
Biography, Drama, Thriller            ","

7.7
","601,327",$136.03M,drama
Patch Adams,(1998),PG-13,"
Biography, Comedy, Drama            ","

6.8
","111,614",$135.03M,drama
The Godfather,(1972),R,"
Crime, Drama            ","

9.2
","1,758,913",$134.97M,drama
Identity Thief,(2013),R,"
Comedy, Crime, Drama            ","

5.7
","131,528",$134.51M,drama
Troy,(2004),R,"
Drama, History            ","

7.3
","518,847",$133.38M,drama
Wonder,(I) (2017),PG,"
Drama, Family            ","

7.9
","158,483",$132.42M,drama
The Departed,(2006),R,"
Crime, Drama, Thriller            ","

8.5
","1,274,100",$132.38M,drama
Silver Linings Playbook,(2012),R,"
Comedy, Drama, Romance            ","

7.7
","694,356",$132.09M,drama
Close Encounters of the Third Kind,(1977),PG,"
Drama, Sci-Fi            ","

7.6
","196,712",$132.09M,drama
The Silence of the Lambs,(1991),R,"
Crime, Drama, Thriller            ","

8.6
","1,371,787",$130.74M,drama
The Peanuts Movie,(2015),G,"
Animation, Adventure, Comedy            ","

7.0
","45,078",$130.18M,drama
American Gangster,(2007),R,"
Biography, Crime, Drama            ","

7.8
","416,106",$130.16M,drama
American Beauty,(1999),R,"
Drama            ","

8.4
","1,124,849",$130.10M,drama
An Officer and a Gentleman,(1982),R,"
Drama, Romance            ","

7.0
","55,269",$129.80M,drama
"Crouching Tiger, Hidden Dragon",(2000),PG-13,"
Action, Adventure, Drama            ","

7.9
","264,300",$128.08M,drama
Into the Woods,(2014),PG,"
Adventure, Comedy, Drama            ","

5.9
","138,905",$128.00M,drama
Rocky IV,(1985),PG,"
Drama, Sport            ","

6.8
","199,826",$127.87M,drama
The Curious Case of Benjamin Button,(2008),PG-13,"
Drama, Fantasy, Romance            ","

7.8
","629,856",$127.51M,drama
My Best Friend's Wedding,(1997),PG-13,"
Comedy, Drama, Romance            ","

6.3
","139,130",$127.12M,drama
The Legend of Tarzan,(2016),PG-13,"
Action, Adventure, Drama            ","

6.2
","173,098",$126.64M,drama
Bee Movie,(2007),PG,"
Animation, Adventure, Comedy            ","

6.1
","156,143",$126.63M,drama
Sleepless in Seattle,(1993),PG,"
Comedy, Drama, Romance            ","

6.8
","171,927",$126.53M,drama
The Truman Show,(1998),PG,"
Comedy, Drama            ","

8.2
","1,023,056",$125.62M,drama
Erin Brockovich,(2000),R,"
Biography, Drama            ","

7.4
","191,779",$125.60M,drama
Lone Survivor,(2013),R,"
Action, Biography, Drama            ","

7.5
","280,854",$125.10M,drama
Sully,(2016),PG-13,"
Biography, Drama            ","

7.4
","261,840",$125.07M,drama
Rocky III,(1982),PG,"
Drama, Sport            ","

6.8
","185,738",$125.05M,drama
The Vow,(2012),PG-13,"
Drama, Romance            ","

6.8
","191,540",$125.01M,drama
Life of Pi,(2012),PG,"
Adventure, Drama, Fantasy            ","

7.9
","612,648",$124.99M,drama
The Fault in Our Stars,(2014),PG-13,"
Drama, Romance            ","

7.7
","366,079",$124.87M,drama
The Devil Wears Prada,(2006),PG-13,"
Comedy, Drama            ","

6.9
","402,380",$124.74M,drama
Something's Gotta Give,(2003),PG-13,"
Comedy, Drama, Romance            ","

6.7
","119,330",$124.73M,drama
Traffic,(2000),R,"
Crime, Drama, Thriller            ","

7.6
","204,705",$124.12M,drama
"Good Morning, Vietnam",(1987),R,"
Biography, Comedy, Drama            ","

7.3
","136,691",$123.92M,drama
The Good Dinosaur,(2015),PG,"
Animation, Adventure, Comedy            ","

6.7
","111,398",$123.09M,drama
Clear and Present Danger,(1994),PG-13,"
Action, Crime, Drama            ","

6.9
","97,273",$122.19M,drama
The Bodyguard,(1992),R,"
Action, Drama, Music            ","

6.3
","130,525",$121.95M,drama
50 First Dates,(2004),PG-13,"
Comedy, Drama, Romance            ","

6.8
","346,072",$120.91M,drama
Inglourious Basterds,(2009),R,"
Adventure, Drama, War            ","

8.3
","1,378,373",$120.54M,drama
Seabiscuit,(2003),PG-13,"
Drama, History, Sport            ","

7.3
","71,811",$120.28M,drama
Four Christmases,(2008),PG-13,"
Comedy, Drama, Romance            ","

5.7
","71,451",$120.15M,drama
Walk the Line,(2005),PG-13,"
Biography, Drama, Music            ","

7.8
","245,812",$119.52M,drama
On Golden Pond,(1981),PG,"
Drama            ","

7.6
","30,651",$119.29M,drama
The Sum of All Fears,(2002),PG-13,"
Action, Drama, Thriller            ","

6.4
","113,595",$118.91M,drama
Hairspray,(2007),PG,"
Comedy, Drama, Musical            ","

6.8
","127,343",$118.87M,drama
The Break-Up,(2006),PG-13,"
Comedy, Drama, Romance            ","

5.8
","130,932",$118.70M,drama
Basic Instinct,(1992),R,"
Drama, Mystery, Thriller            ","

7.0
","193,967",$117.73M,drama
Ford v Ferrari,(2019),PG-13,"
Action, Biography, Drama            ","

8.1
","358,062",$117.62M,drama
Rocky,(1976),PG,"
Drama, Sport            ","

8.1
","554,560",$117.24M,drama
The Wolf of Wall Street,(2013),R,"
Biography, Comedy, Crime            ","

8.2
","1,321,781",$116.90M,drama
Double Jeopardy,(1999),R,"
Crime, Drama, Mystery            ","

6.5
","84,637",$116.74M,drama
8 Mile,(2002),R,"
Drama, Music            ","

7.2
","276,386",$116.72M,drama
The Butler,(I) (2013),PG-13,"
Biography, Drama            ","

7.2
","113,486",$116.63M,drama
Notting Hill,(1999),PG-13,"
Comedy, Drama, Romance            ","

7.2
","300,080",$116.09M,drama
The Towering Inferno,(1974),PG,"
Action, Drama, Thriller            ","

7.0
","42,835",$116.00M,drama
You've Got Mail,(1998),PG,"
Comedy, Drama, Romance            ","

6.7
","208,098",$115.82M,drama
Creed II,(2018),PG-13,"
Drama, Sport            ","

7.1
","119,303",$115.72M,drama
Remember the Titans,(2000),PG,"
Biography, Drama, Sport            ","

7.8
","209,898",$115.65M,drama
Unbroken,(I) (2014),PG-13,"
Action, Biography, Drama            ","

7.2
","162,765",$115.64M,drama
Peter Rabbit,(2018),PG,"
Animation, Adventure, Comedy            ","

6.6
","41,351",$115.25M,drama
Girls Trip,(2017),R,"
Adventure, Comedy, Drama            ","

6.2
","36,917",$115.17M,drama
American Graffiti,(1973),PG,"
Comedy, Drama            ","

7.4
","87,691",$115.00M,drama
Big,(1988),PG,"
Comedy, Drama, Fantasy            ","

7.3
","213,893",$114.97M,drama
Fifty Shades Darker,(2017),R,"
Drama, Romance            ","

4.6
","99,249",$114.38M,drama
The Village,(2004),PG-13,"
Drama, Mystery, Thriller            ","

6.6
","255,963",$114.20M,drama
Bolt,(2008),PG,"
Animation, Adventure, Comedy            ","

6.9
","204,092",$114.05M,drama
Magic Mike,(2012),R,"
Comedy, Drama            ","

6.1
","136,583",$113.72M,drama
The Patriot,(2000),R,"
Action, Drama, History            ","

7.2
","268,243",$113.33M,drama
The Pacifier,(2005),PG,"
Action, Comedy, Drama            ","

5.6
","92,855",$113.09M,drama
It's Complicated,(2009),R,"
Comedy, Drama, Romance            ","

6.5
","91,276",$112.74M,drama
One Flew Over the Cuckoo's Nest,(1975),R,"
Drama            ","

8.7
","975,630",$112.00M,drama
Doctor Zhivago,(1965),PG-13,"
Drama, Romance, War            ","

8.0
","75,085",$111.72M,drama
The Last Samurai,(2003),R,"
Action, Drama            ","

7.8
","425,426",$111.11M,drama
Glass,(2019),PG-13,"
Drama, Sci-Fi, Thriller            ","

6.6
","232,066",$111.05M,drama
Trainwreck,(2015),R,"
Comedy, Drama, Romance            ","

6.2
","135,378",$110.21M,drama
Creed,(II) (2015),PG-13,"
Action, Drama, Sport            ","

7.6
","265,048",$109.77M,drama
A Time to Kill,(1996),R,"
Crime, Drama, Thriller            ","

7.5
","152,131",$108.77M,drama
Black Hawk Down,(2001),R,"
Action, Drama, History            ","

7.7
","386,115",$108.64M,drama
Terms of Endearment,(1983),PG,"
Comedy, Drama            ","

7.4
","59,231",$108.42M,drama
The Upside,(2017),PG-13,"
Comedy, Drama            ","

7.0
","54,577",$108.25M,drama
Little Women,(2019),PG,"
Drama, Romance            ","

7.8
","185,867",$108.10M,drama
Pulp Fiction,(1994),R,"
Crime, Drama            ","

8.9
","1,964,233",$107.93M,drama
Baby Driver,(2017),R,"
Action, Crime, Drama            ","

7.6
","503,299",$107.83M,drama
A League of Their Own,(1992),PG,"
Comedy, Drama, Sport            ","

7.3
","102,570",$107.53M,drama
Watchmen,(2009),R,"
Action, Drama, Mystery            ","

7.7
","536,305",$107.51M,drama
Captain Phillips,(2013),PG-13,"
Action, Biography, Crime            ","

7.8
","447,262",$107.10M,drama
Black Swan,(2010),R,"
Drama, Thriller            ","

8.0
","740,317",$106.95M,drama
Chicken Run,(2000),G,"
Animation, Adventure, Comedy            ","

7.1
","187,148",$106.83M,drama
Indecent Proposal,(1993),R,"
Drama, Romance            ","

6.0
","69,484",$106.61M,drama
Driving Miss Daisy,(1989),PG,"
Drama            ","

7.4
","107,492",$106.59M,drama
300: Rise of an Empire,(2014),R,"
Action, Drama            ","

6.2
","295,044",$106.58M,drama
Love Story,(1970),PG,"
Drama, Romance            ","

6.9
","33,516",$106.40M,drama
Kramer vs. Kramer,(1979),PG,"
Drama            ","

7.8
","142,147",$106.26M,drama
Robin Hood,(2010),PG-13,"
Action, Adventure, Drama            ","

6.6
","264,620",$105.27M,drama
Interview with the Vampire: The Vampire Chronicles,(1994),R,"
Drama, Fantasy, Horror            ","

7.5
","312,397",$105.26M,drama
Hustlers,(2019),R,"
Comedy, Crime, Drama            ","

6.3
","95,352",$104.96M,drama
The Graduate,(1967),PG,"
Comedy, Drama, Romance            ","

8.0
","267,602",$104.95M,drama
Phenomenon,(1996),PG,"
Drama, Fantasy, Romance            ","

6.4
","78,623",$104.64M,drama
Road to Perdition,(2002),R,"
Crime, Drama, Thriller            ","

7.7
","261,819",$104.45M,drama
The Mule,(2018),R,"
Crime, Drama, Thriller            ","

7.0
","131,442",$103.80M,drama
Rise of the Guardians,(2012),PG,"
Animation, Action, Adventure            ","

7.3
","169,786",$103.41M,drama
Dreamgirls,(2006),PG-13,"
Drama, Music, Musical            ","

6.6
","72,896",$103.37M,drama
Murder on the Orient Express,(2017),PG-13,"
Crime, Drama, Mystery            ","

6.5
","237,048",$102.83M,drama
Bambi,(1942),G,"
Animation, Adventure, Drama            ","

7.3
","139,391",$102.80M,drama
The General's Daughter,(1999),R,"
Crime, Drama, Mystery            ","

6.4
","58,283",$102.71M,drama
The Aviator,(2004),PG-13,"
Biography, Drama            ","

7.5
","353,130",$102.61M,drama
The Girl with the Dragon Tattoo,(2011),R,"
Crime, Drama, Mystery            ","

7.8
","452,086",$102.52M,drama
In the Line of Fire,(1993),R,"
Action, Crime, Drama            ","

7.2
","101,209",$102.31M,drama
Butch Cassidy and the Sundance Kid,(1969),PG,"
Biography, Crime, Drama            ","

8.0
","212,116",$102.31M,drama
Sleeping with the Enemy,(1991),R,"
Drama, Thriller            ","

6.2
","55,922",$101.60M,drama
The Prince of Egypt,(1998),PG,"
Animation, Adventure, Drama            ","

7.1
","127,909",$101.22M,drama
Noah,(2014),PG-13,"
Action, Adventure, Drama            ","

5.8
","251,935",$101.20M,drama
Unforgiven,(1992),R,"
Drama, Western            ","

8.2
","400,809",$101.16M,drama
Collateral,(2004),R,"
Action, Crime, Drama            ","

7.5
","387,286",$101.01M,drama
Contact,(1997),PG,"
Drama, Mystery, Sci-Fi            ","

7.5
","268,679",$100.92M,drama
The Pelican Brief,(1993),PG-13,"
Crime, Drama, Mystery            ","

6.6
","84,692",$100.77M,drama
Arrival,(II) (2016),PG-13,"
Drama, Sci-Fi            ","

7.9
","662,392",$100.55M,drama
Due Date,(2010),R,"
Comedy, Drama            ","

6.5
","337,667",$100.54M,drama
Million Dollar Baby,(2004),PG-13,"
Drama, Sport            ","

8.1
","670,549",$100.49M,drama
Fifty Shades Freed,(2018),R,"
Drama, Romance, Thriller            ","

4.5
","63,012",$100.41M,drama
Shakespeare in Love,(1998),R,"
Comedy, Drama, History            ","

7.1
","222,045",$100.32M,drama
The Hunchback of Notre Dame,(1996),G,"
Animation, Drama, Family            ","

7.0
","152,627",$100.14M,drama
Se7en,(1995),R,"
Crime, Drama, Mystery            ","

8.6
","1,567,213",$100.13M,drama
Parenthood,(1989),PG-13,"
Comedy, Drama            ","

7.0
","48,660",$100.05M,drama
Passengers,(I) (2016),PG-13,"
Drama, Romance, Sci-Fi            ","

7.0
","386,486",$100.01M,drama
Christopher Robin,(2018),PG,"
Animation, Adventure, Comedy            ","

7.2
","75,360",$99.22M,drama
The Color Purple,(1985),PG-13,"
Drama            ","

7.7
","84,641",$98.47M,drama
Public Enemies,(2009),R,"
Action, Biography, Crime            ","

7.0
","295,176",$97.10M,drama
The Social Network,(2010),PG-13,"
Biography, Drama            ","

7.8
","676,520",$96.96M,drama
Schindler's List,(1993),R,"
Biography, Drama, History            ","

9.0
","1,303,701",$96.90M,drama
Downton Abbey,(2019),PG,"
Drama, Romance            ","

7.4
","50,938",$96.85M,drama
Panic Room,(2002),R,"
Crime, Drama, Thriller            ","

6.8
","274,174",$96.40M,drama
